"Event_ID","Plot_Name","Event_Date","Event_Date_Txt","Event_Year","Unit_Code","Unit_Group","Subunit_Code","Protocol_Name","Panel","Frame","Cycle","numHerbPlots","numSapPlots","numSeedPlots","excludeEvent","Stand_Structure_ID","Crown_Closure_ID","Deer_Browse_Line_ID","Groundstory_Cover_Class_Low","Groundstory_Cover_Class_Mid","Groundstory_Cover_Class_High","Forest_Floor_Bare_Soil_Cover_Class_ID","Forest_Floor_Rock_Cover_Class_ID","Forest_Floor_Trampled_Cover_Class_ID","Plot_Slope_Degree"
"00175F82-F37D-4DF5-B1F2-AF67BD0E7D2E","SARA-030",2016-06-01,20160601,"2016","SARA","Forest",NA,"2016","3","NETN","3",8,3,3,0,3,5,3,3,3,3,1,2,1,12
"005F3FC6-CAF6-4D6C-9E89-2A23297FF9B1","ACAD-059",2015-07-09,20150709,"2015","ACAD","1947","MDI East","2015","2","NETN","3",8,3,3,0,3,2,2,5,4,5,1,1,1,1.45000004768372
"00E1B451-B51D-42EE-B1AA-8E79D684256F","ACAD-081",2012-06-27,20120627,"2012","ACAD","1947","MDI East","2012","3","NETN","2",8,3,3,0,6,3,3,6,5,4,1,2,1,7
"0169BAFD-5F7A-489E-ABFE-F0818B680847","WEFA-004",2019-06-12,20190612,"2019","WEFA",NA,NA,"2019","2","NETN","4",8,3,3,0,3,5,3,5,3,4,2,3,1,3
"017080A0-7089-4167-9299-C7418712B1D3","SARA-012",2014-05-28,20140528,"2014","SARA","Field",NA,"2014","1","NETN","3",8,3,3,0,5,1,4,7,6,4,1,1,1,5.75
"0193F1B7-D18A-458A-91E7-581A36F4F787","MIMA-004",2010-06-22,20100622,"2010","MIMA",NA,NA,"2010","1","NETN","2",8,3,3,0,3,4,3,7,5,3,1,1,2,2.79999995231628
"01A360A8-194B-49B0-9832-4EEF3852DEE9","MORR-017",2013-05-28,20130528,"2013","MORR","Successional",NA,"2013","4","NETN","2",8,3,3,0,3,2,5,7,6,3,1,1,1,5.34999990463257
"021BA8F9-F272-48B3-A649-B33946560020","ROVA-008",2015-06-08,20150608,"2015","ROVA",NA,"VAMA","2015","2","NETN","3",8,3,3,0,3,4,3,5,3,3,2,3,1,16.1000003814697
"02655B74-F439-4BD9-9BA3-BF2C63FD7AD4","ROVA-014",2011-06-01,20110601,"2011","ROVA",NA,"VAMA","2011","2","NETN","2",8,3,3,0,3,2,2,6,6,5,2,1,1,0.949999988079071
"02926C77-DFEF-464A-9B82-A62EE7B3B2B5","ACAD-117",2012-07-11,20120711,"2012","ACAD","Unburned","MDI East","2012","3","NETN","2",8,3,3,0,6,1,2,5,3,2,2,4,3,8.5
"02C74384-FC86-4710-B3BB-64214BEA0D0A","ACAD-069",2011-07-14,20110714,"2011","ACAD","Unburned","Schoodic","2011","2","NETN","2",8,3,3,0,3,3,3,5,4,3,1,2,1,2.5
"02D994CD-D61B-41E9-94F8-D5951EFA8032","WEFA-004",2015-06-15,20150615,"2015","WEFA",NA,NA,"2015","2","NETN","3",8,3,3,0,3,5,5,5,4,4,1,3,1,3
"0326E6AD-2D7B-4570-B045-2FCEC0CB2A65","ROVA-008",2007-06-25,20070625,"2007","ROVA",NA,"VAMA","2007","2","NETN","1",8,3,3,0,3,5,NA,6,3,6,1,2,1,16
"036A07E7-9ED6-47AC-970B-5D2260F1CFCC","WEFA-006",2013-06-18,20130618,"2013","WEFA",NA,NA,"2013","4","NETN","2",8,3,3,0,3,3,4,4,2,3,1,2,1,9.94999980926514
"03BC8686-AAB3-4997-BD07-668213570B23","MORR-001",2015-05-29,20150529,"2015","MORR","Mature","NJ Brigade","2015","2","NETN","3",8,3,3,0,3,4,5,4,4,2,1,1,1,17.7000007629395
